GemName,carat,cut,clarity,depth,table,x,y,z,Lab_L,Lab_a,Lab_b,XYZ_X,XYZ_Y,XYZ_Z,Wavelength,Reflectance,Color
Topaz,4.25,Ideal,SI2,55.72,55.74,8.63,,5.22,69.31,2.36,4.99,0.153,0.554,0.538,650,0.37,Red
Topaz,3.88,Good,IF,62.14,65.66,8.58,9.17,5.52,78.91,3.66,-1.66,0.22,0.511,0.496,600,0.41,Green
Diamond,2.02,,VVS2,58.99,54.47,3.84,5.93,2.95,66.57,1.52,1.8,0.387,0.374,0.204,400,0.56,Red
Sapphire,2.5,Ideal,SI1,59.82,54.95,8.91,4.19,5.1,75.83,1.12,2.51,,0.4,0.561,500,0.37,LightYellow
Amethyst,1.09,Premium,IF,61.04,56.49,3.54,3.13,4.99,64.55,1.08,-0.06,0.297,0.31,0.214,650,0.39,FaintYellow
Emerald,1.6,Very Good,VS1,,57.9,9.47,8.45,5.17,73.03,4.86,-0.37,0.529,0.298,0.569,700,0.62,Green
Emerald,3.94,Good,VS1,55.67,61.66,4.51,8.45,3.1,76.6,1.98,-1.64,0.111,0.232,0.499,650,0.51,Green
Emerald,4.49,Ideal,VVS2,56.09,60.31,3.81,4.37,3.27,74.47,3.93,2.02,0.47,0.168,0.475,600,0.32,Red
Sapphire,,Ideal,SI1,63.29,64.87,3.52,9.69,5.47,74.16,3.88,0.25,0.145,0.136,0.599,400,0.52,FaintYellow
Topaz,2.43,Premium,VS2,55.21,64.34,5.4,9.64,3.7,69.31,4.34,0.5,0.55,0.404,0.353,500,0.41,Red
Diamond,0.62,Good,VS1,59.5,50.91,5.44,5.56,6.15,78,2.55,-3.48,0.342,0.408,0.299,550,0.43,Red
Amethyst,0.47,Premium,VS2,62.74,52.68,6.68,4.03,2.51,66.27,3.59,1.68,0.354,0.232,0.525,450,0.37,Blue
Ruby,2,,VS2,56.95,54.3,8.13,4.99,2.78,78.13,2.45,-0.63,0.559,0.259,0.462,400,0.37,White
Emerald,2.43,Fair,IF,56.87,61.95,6.57,9.51,2.83,60.74,1.94,-3.96,0.319,0.33,0.429,400,0.51,FaintYellow
Emerald,3.12,Ideal,VS2,58.1,67.91,9.85,7.27,3.28,72,4.95,-1.57,0.551,0.231,0.271,700,0.49,Green
Topaz,0.23,Premium,VVS2,56.5,56.5,4.47,9.4,6.05,72.45,4.61,-4.54,0.441,0.401,0.452,600,0.5,Violet
Ruby,4.95,Ideal,IF,61.79,69.27,4.47,3.16,3.69,65.25,2.86,-3.77,0.241,0.409,0.256,450,0.39,Red
Topaz,1.95,Ideal,VVS2,57,53.46,7.93,9.94,4.08,75.08,3.43,4.94,0.13,0.234,0.366,500,0.54,Violet
Sapphire,4.27,Premium,VS2,57.27,68.49,5.2,7.4,3.9,63.84,4.88,2.91,0.552,0.433,0.278,450,0.58,White
Ruby,2.77,Ideal,VS1,60.75,66.02,4.2,4.3,5.63,68.26,2.37,4.88,0.262,0.269,0.223,650,0.68,Violet
Amethyst,0.83,Good,SI1,64.67,57.78,8.55,6.55,3.69,77.99,4.36,4.4,0.112,0.252,0.176,700,0.67,Red
Topaz,4.03,Good,VS2,64.14,,4.58,8.74,5.75,67.88,2.59,4.58,0.553,0.415,0.168,450,0.65,Red
Diamond,3.61,Fair,VVS2,63.64,57.83,8.24,3.99,4.17,76.53,4.49,-0.21,0.366,0.242,0.549,400,0.38,FaintYellow
Sapphire,2.73,Good,VVS1,60.31,54.27,4.45,7.26,3.09,61.98,2.95,1.77,0.449,0.23,0.439,650,0.65,LightYellow
Diamond,2.67,Premium,VVS1,57.98,61.22,9.58,7.85,3.94,62.29,3.13,-4.88,0.577,0.542,0.163,550,0.41,Blue
Amethyst,0.62,Good,VS1,62.06,61.5,5.07,5.89,3.79,63.56,4.02,-1.2,0.199,0.268,0.551,500,0.42,Green
Topaz,3.35,Fair,SI2,58.9,65.36,8.25,6.79,3.09,63.3,4.53,1.75,0.416,0.352,0.435,550,,Green
Topaz,4.57,Very Good,SI1,62.78,60.56,8.89,8.86,2.55,79.57,,-3.46,0.187,0.546,0.429,550,0.3,FaintYellow
Emerald,0.65,Very Good,VVS2,55.16,56.9,3.86,9.66,5.79,,4.01,3.95,0.23,0.135,0.478,600,0.57,Red
Amethyst,1.46,Premium,VS1,60.3,68.23,3.48,6.88,4.32,62.99,4.8,-3.93,0.37,0.513,0.44,650,0.5,White
Emerald,4.53,Fair,IF,58.37,51.56,7.19,7.92,3.09,63.41,1.09,3.38,0.211,0.122,0.339,450,0.53,Violet
Sapphire,1.56,,VS2,57.49,66.18,7.34,5.26,3.92,71.97,1.63,1.15,0.335,0.394,0.191,500,0.6,Blue
Emerald,3.34,Fair,SI2,61.62,58.19,7.36,5.34,4.73,69.85,2.42,3.6,0.108,0.314,0.229,700,0.64,White
Ruby,2.77,Ideal,IF,61.58,53.62,6.19,9.22,5.24,74.47,4.15,-2.76,0.425,0.57,0.228,600,0.31,White
Ruby,,Fair,VVS1,55.37,52.41,9.54,3.69,4.79,66.86,3.34,1.37,0.483,0.591,0.471,500,0.65,Green
Sapphire,2.2,Good,VS2,64.48,54.42,7.84,4.44,3.05,60.82,4.69,-2.77,0.217,0.534,0.206,500,0.59,White
Sapphire,1.64,Premium,IF,58.62,52.44,3.52,4.89,2.5,66.92,2.85,-2.39,0.114,0.415,0.248,550,0.59,FaintYellow
Amethyst,0.43,Ideal,VVS1,64.17,59.18,8.5,3.66,2.33,,3,-3.86,0.134,0.232,0.414,400,0.32,White
Topaz,3.77,Fair,SI1,60.84,56.99,4.93,7.67,2.49,76.29,3.24,3.54,0.416,0.53,0.135,550,0.32,Red
Diamond,3.78,Very Good,IF,61.53,57.13,8.06,9.34,3.56,74.27,4.63,3.02,0.6,0.123,0.443,450,0.35,FaintYellow
Ruby,3.42,Good,VS2,64.61,53.14,3.41,3.19,3.6,68.08,1.24,-2.18,0.443,0.193,0.393,700,0.67,FaintYellow
Diamond,3.29,Premium,IF,63.22,63.19,8.37,4.77,6.4,72.21,3.04,-3.2,0.105,0.249,0.309,500,0.51,White
Topaz,1.37,Good,SI2,56.4,62.16,6.8,9.44,2.1,62.87,2.51,2.98,0.569,0.446,0.123,450,0.36,Green
Ruby,0.31,Fair,SI2,55.05,69.65,8.05,6.26,4.85,65.04,2.22,-0.37,0.529,0.356,0.215,500,0.3,Green
Diamond,4.08,Premium,VS2,58.09,53.35,6.46,9.2,4.3,64.94,3.86,-1.72,0.361,0.567,0.241,450,0.4,Green
Sapphire,2.56,Very Good,IF,59.89,66.68,8.61,9.61,2.66,61.51,2.35,1.81,0.505,0.268,0.111,450,0.67,Green
Emerald,1.67,Ideal,VS1,,50.68,9.63,9.94,6.27,78.79,1.1,-1.15,0.247,0.448,0.18,550,0.61,Blue
Emerald,0.69,Fair,SI1,61.61,51.47,8.2,5.77,5.65,68.63,1.86,2.28,0.161,0.119,0.105,650,0.49,White
Topaz,0.5,Premium,IF,58.13,62.96,8.21,5.4,2.99,77.48,2.17,-2.91,0.178,0.44,0.124,500,0.52,White
Amethyst,1.87,Ideal,IF,60.42,58.13,4.52,8.24,3.31,,1.73,0.68,0.218,0.31,0.16,500,0.57,Violet
Sapphire,4.06,Premium,SI2,61.51,54.61,5.48,7.16,2.9,75.36,4.05,3.75,0.236,0.526,0.269,700,0.45,Green
Diamond,4.61,Fair,SI2,60.14,50.06,3.88,7.61,,76.08,3.42,3.11,0.311,0.408,0.272,450,0.43,Blue
Ruby,4.5,Premium,VS1,61.89,,6.73,6.73,3.03,60.09,3.76,4.44,0.445,0.445,0.509,400,0.5,Green
Topaz,4.62,Very Good,SI2,59.85,58.82,6.13,6.6,3.16,60.68,3.17,-4.79,0.166,0.519,0.374,450,0.35,Blue
Diamond,4.56,Premium,VVS1,60.3,53.42,5.06,5.2,4.32,78.42,3.73,4.29,0.199,0.117,0.129,450,0.32,Red
Topaz,2.73,Fair,VS2,64.41,69.44,3.48,7.17,3.52,71.38,3.86,,0.157,0.594,0.123,,0.43,Blue
Sapphire,1.25,Premium,VVS2,58.89,57.02,9.52,8.96,4.2,65.69,4.04,4.44,0.342,0.206,0.273,700,0.52,White
Topaz,4.03,Ideal,VVS1,62.56,56.06,7.24,5.49,2.14,63.72,4.11,-2.45,0.457,0.194,0.432,400,0.48,LightYellow
Diamond,1.23,Ideal,VS2,,60.21,5.27,7.41,5.34,76.36,2.1,-3.13,0.321,0.5,0.377,550,0.62,White
Sapphire,1.48,Good,IF,58.32,55.54,5.43,7.46,6.18,63.87,1.96,1.28,0.472,0.312,0.188,450,0.5,Red
Sapphire,1.32,Good,VVS1,64.27,55.46,5.77,7.04,6.48,76.87,3.89,2.27,0.384,0.2,0.355,500,0.6,Violet
Diamond,2.67,Very Good,IF,61.99,69.33,8.68,7.72,2.9,72.45,4.93,4.62,0.258,0.191,0.515,650,0.51,White
Emerald,1.74,Ideal,VVS1,64.29,55.22,4.47,5.88,3.73,73.2,3.9,-1.99,0.372,0.175,0.202,,0.57,FaintYellow
